# This text will be overwritten whenever the script is run!
# Each line begins with the center_node and the following numbers are how many zeroes
# are in it and its neighbors.
# This data should be importable by Python using csv.reader()

# Example:
# TRENT,"[# of zeroe in TRENT, # of zeroes in neighbor 1, # zeroes in neighbor 2, ...]"

FO_FORMOSG3,"[45805, 0, 0, 1, 0, 1, 1, 7990, 1, 2, 1, 12408, 4, 2, 4160, 5303, 4151, 5303, 4151, 4151, 0, 0, 0, 0, 0, 43623, 744, 744, 744, 42878, 42878, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 16773, 2, 2, 5303, 5303, 5303, 5304, 5304, 5303, 5303, 5303, 5303, 5303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12837, 33521, 33521, 33521, 33521, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 33689, 45855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 744, 744, 744, 744, 744, 744, 744, 744, 744, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
LEON_LCP3G3,"[0, 18764, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 744, 744, 744, 744, 744, 18764, 18764, 0, 0, 1, 1, 0]"
HB_HUBAVG,"[0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1633, 1633, 1634, 1634, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9502, 0, 0, 0, 1, 22269, 2, 5303, 5303, 5303, 5303, 1, 1, 0, 0, 3, 10702, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
BVE_UNIT3,"[8, 0, 5303, 5303, 5303, 0, 0, 0, 0, 0]"
BVE_UNIT2,"[0, 0, 5303, 5303, 5303, 0, 0, 0, 0, 0]"
BVE_UNIT1,"[0, 0, 5303, 5303, 5303, 0, 0, 0, 0, 0]"
GWEC_G1,"[0, 23448, 24816, 23448, 23447]"
AMO_AMOCO_S2,"[23447, 0, 0, 0, 0, 0, 0, 0, 1]"
AMO_AMOCO_S1,"[0, 1, 0, 0, 0, 0, 0, 0, 1]"
GID_GIDEONG1,"[0, 0, 744, 0, 744, 0, 745, 744, 746, 745, 744, 744, 744, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
TUTTL_WBT3G3,"[0, 45805, 2, 1, 0, 45805, 745, 745, 745, 745, 745, 45806, 0, 0, 0, 0, 45805, 45805]"
GID_GIDEONG2,"[45805, 0, 744, 0, 744, 0, 745, 744, 746, 745, 744, 744, 744, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
LPCCS_CT21,"[0, 0, 1, 0, 0, 0, 744, 745, 0, 0, 0, 1, 1]"
GID_GIDEONG3,"[0, 1, 744, 0, 744, 0, 745, 744, 746, 745, 744, 744, 744, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
FO_FORMOSG9,"[0, 1, 0, 1, 0, 1, 1, 7990, 1, 2, 1, 12408, 4, 2, 4160, 5303, 4151, 5303, 4151, 4151, 0, 0, 0, 0, 0, 43623, 744, 744, 744, 42878, 42878, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 16773, 2, 2, 5303, 5303, 5303, 5304, 5304, 5303, 5303, 5303, 5303, 5303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12837, 33521, 33521, 33521, 33521, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 33689, 45855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 744, 744, 744, 744, 744, 744, 744, 744, 744, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
FLCNS_UNIT1,"[0, 3, 747, 747, 3, 3, 3, 3]"
FLCNS_UNIT2,"[3, 3, 747, 747, 3, 3, 3, 3]"
FLCNS_UNIT3,"[3, 3, 747, 747, 3, 3, 3, 3]"
DDPEC_GT2,"[3, 1, 2, 2, 2, 2, 2, 2, 2, 26635, 1, 1, 26634]"
DDPEC_GT6,"[0, 26634, 2, 2, 2, 2, 2, 2, 2, 26635, 1, 1, 26634]"
DDPEC_GT4,"[0, 1, 2, 2, 2, 2, 2, 2, 2, 26635, 1, 1, 26634]"
WCPP_ST1,"[0, 10, 10, 10, 4353, 4353, 4353, 10, 10, 10]"
TXCTY_CTA,"[10, 0, 0, 1, 0, 0, 0]"
TXCTY_CTC,"[0, 0, 0, 1, 0, 0, 0]"
TXCTY_CTB,"[0, 1, 0, 1, 0, 0, 0]"
JACKCNTY_CT1,"[0, 0, 0, 0, 0, 0, 0]"
JACKCNTY_CT2,"[1, 0, 0, 0, 0, 0, 0]"
RIONOG_CT2,"[1, 1, 744, 745, 1, 1, 1]"
RIONOG_CT3,"[1, 1, 744, 745, 1, 1, 1]"
INGLCOS_CTG1,"[1, 0, 0, 0, 0, 744, 744, 744, 744, 0]"
DIB_DIB_G4,"[0, 1, 0, 0, 0]"
DIB_DIB_G3,"[1, 0, 0, 0, 0]"
DIB_DIB_G2,"[1, 0, 0, 0, 0]"
DIB_DIB_G1,"[1, 0, 0, 0, 0]"
CAL_CALSTG1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 744, 744, 744, 744, 745, 745, 744, 744, 744, 745, 745, 744, 744, 744, 744, 0, 0, 0, 0, 0, 0, 3, 5, 5, 0, 0, 0, 0, 0, 0, 1, 1, 1, 745, 745, 1, 0, 0, 0, 0, 0, 22410, 0, 0, 0, 0, 1, 0, 0, 0, 744, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44869, 1, 1, 1, 2, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
JACKCNTY_STG,"[0, 1, 0, 0, 0, 0, 0]"
CCEC_GT1,"[1, 1, 18957, 18957, 4343, 4344, 2, 3, 1, 2, 2, 1, 2, 0]"
CCEC_GT2,"[1, 2, 18957, 18957, 4343, 4344, 2, 3, 1, 2, 2, 1, 2, 0]"
LPCCS_UNIT1,"[1, 1, 1, 0, 0, 0, 744, 745, 0, 0, 0, 1, 1]"
BRAUNIG_VHB2,"[0, 0, 1, 745, 745, 745, 744, 744, 745, 745, 745, 746, 1, 744, 0, 0, 0, 2, 2, 0, 0, 1]"
BRAUNIG_VHB1,"[1, 2, 1, 745, 745, 745, 744, 744, 745, 745, 745, 746, 1, 744, 0, 0, 0, 2, 2, 0, 0, 1]"
LPCCS_UNIT2,"[1, 0, 1, 0, 0, 0, 744, 745, 0, 0, 0, 1, 1]"
